marital_status,car_use,gender,kids_driving,parent,education,car_make,car_color,car_year,claim_freq,coverage_zone,claim_amt,household_income,total_claim_amount_per_time
Single,Private,Male,2,Yes,High School,Acura,Green,2010,1,Highly Urban,73759.88,220436.66,73759.88
Married,Private,Female,0,No,Bachelors,Corbin,Turquoise,2004,1,Urban,78975.41,66491.43,78975.41
Divorced,Private,Male,0,No,Bachelors,Nissan,Orange,1993,0,Rural,30904.01,56122.7,0
Single,Private,Female,0,No,Bachelors,Ford,Pink,2000,1,Highly Urban,30257.82,175182.61,30257.82
Single,Commercial,Male,0,No,Masters,Nissan,Green,2006,3,Rural,50434.02,137110.23,16811.34
Single,Private,Male,1,Yes,PhD,Mercedes-Benz,Maroon,1999,3,Rural,71935.14,212072.46,23978.38
Single,Private,Male,0,No,High School,Toyota,Yellow,2006,0,Rural,21611.15,87875.66,0
Married,Private,Male,0,No,Bachelors,Lincoln,Crimson,1989,2,Highly Rural,24447.74,167681.37,12223.87
Single,Private,Male,2,Yes,High School,Mazda,Goldenrod,1995,0,Rural,40437.12,116304.98,0
Single,Private,Female,0,No,High School,Ford,Red,1994,0,Suburban,32119.83,111742.45,0
Married,Private,Male,0,No,Bachelors,Chevrolet,Maroon,1996,0,Rural,49673,177954.74,0
Seperated,Commercial,Male,0,No,Bachelors,Eagle,Crimson,1997,0,Rural,74738.17,225803.14,0
Married,Private,Male,0,No,Masters,Oldsmobile,Fuscia,1992,0,Highly Rural,43562.91,105687.81,0
Divorced,Private,Female,0,No,PhD,Toyota,Fuscia,2008,0,Highly Urban,22841.99,53926.42,0
Single,Commercial,Male,0,No,Bachelors,Mercedes-Benz,Green,2006,0,Rural,19495.45,209769.41,0
Single,Commercial,Female,0,No,Bachelors,Chevrolet,Goldenrod,2003,1,Highly Urban,26806.63,213835.24,26806.63
Divorced,Private,Male,1,Yes,High School,Mazda,Crimson,2003,0,Urban,90461.81,244371.27,0
Single,Private,Female,0,No,High School,Mercedes-Benz,Fuscia,1994,0,Suburban,47803.15,155992.74,0
Single,Private,Female,0,No,PhD,Volvo,Orange,2006,0,Highly Urban,7142.13,69911.72,0
Divorced,Private,Female,2,Yes,Bachelors,Suzuki,Pink,2009,0,Rural,72458.97,75413.76,0
Single,Private,Female,1,Yes,High School,Porsche,Aquamarine,2008,0,Suburban,33580.73,120364.49,0
Single,Private,Male,1,Yes,Bachelors,Mercedes-Benz,Turquoise,1993,0,Highly Rural,98910.49,216981.39,0
Married,Private,Female,0,No,Bachelors,Infiniti,Green,2010,0,Highly Rural,89351.03,104959.26,0
Divorced,Private,Male,1,Yes,High School,Nissan,Maroon,2011,0,Suburban,55317.51,114852.29,0
Single,Private,Female,0,Yes,Bachelors,Mazda,Mauv,1997,1,Rural,87928.43,64641.36,87928.43
Single,Private,Female,0,No,High School,Subaru,Blue,1985,0,Highly Urban,1626.65,116877.78,0
Seperated,Private,Male,0,No,Masters,GMC,Teal,1999,4,Highly Urban,85675.37,163586.12,21418.8425
Married,Private,Male,2,Yes,Masters,BMW,Red,2012,0,Highly Urban,8481.45,94718.64,0
Seperated,Private,Female,0,No,Bachelors,Infiniti,Turquoise,1996,1,Highly Urban,80013.58,163457.53,80013.58
Single,Private,Male,0,Yes,Bachelors,Chrysler,Indigo,2008,3,Highly Urban,56108.91,228187.01,18702.97
Single,Private,Female,1,Yes,Bachelors,Dodge,Blue,1995,1,Urban,38040.05,120126.33,38040.05
Married,Private,Male,0,Yes,PhD,Lincoln,Aquamarine,2009,0,Rural,69059.56,131388.4,0
Divorced,Private,Male,0,No,Bachelors,Ford,Puce,2012,0,Rural,50218.95,144165.91,0
Single,Private,Female,0,No,Masters,Suzuki,Crimson,2011,0,Suburban,78502.86,194078.44,0
Single,Private,Female,0,No,PhD,Dodge,Violet,2003,0,Rural,75618.19,177891.12,0
Divorced,Private,Male,0,No,Bachelors,Honda,Maroon,1985,0,Rural,14086.21,194822.82,0
Single,Private,Female,0,No,High School,Volvo,Teal,2003,0,Urban,22798.82,149154.8,0
Divorced,Commercial,Male,1,Yes,Bachelors,Volkswagen,Mauv,2006,0,Rural,50918.39,154521.02,0
Single,Private,Female,0,No,Bachelors,MINI,Aquamarine,2008,0,Highly Urban,40630.94,218196.99,0
Married,Private,Male,0,No,High School,Mazda,Red,2005,0,Suburban,55413.63,132830.33,0
Married,Commercial,Female,0,Yes,Bachelors,Nissan,Aquamarine,2010,0,Highly Rural,85576.03,125561.02,0
Single,Commercial,Male,0,No,Bachelors,Lexus,Blue,2003,0,Highly Urban,40015.51,242059.51,0
Married,Commercial,Female,2,Yes,High School,Dodge,Crimson,1997,0,Highly Rural,82545.57,239832.59,0
Married,Private,Male,1,Yes,High School,Toyota,Violet,2005,0,Suburban,58293.76,210757.52,0
Divorced,Private,Male,1,Yes,PhD,Kia,Teal,2006,0,Highly Urban,53939.37,205338.44,0
Single,Commercial,Male,0,No,PhD,Audi,Goldenrod,1998,0,Highly Urban,21748.51,191433.02,0
Married,Private,Male,0,Yes,Bachelors,Subaru,Mauv,2010,4,Suburban,85990.9,238176.37,21497.725
Divorced,Private,Male,0,No,Masters,Pontiac,Crimson,1973,0,Highly Urban,42384.65,117157.31,0
Divorced,Private,Female,1,Yes,High School,Ford,Maroon,2000,0,Urban,91374.39,163076.46,0
Married,Commercial,Female,0,No,Bachelors,Ford,Puce,1992,0,Rural,60917.66,146380.98,0
Married,Private,Male,0,No,Masters,Suzuki,Pink,2008,0,Rural,38955.95,142858.11,0
Single,Private,Female,0,No,High School,Pontiac,Purple,1979,0,Highly Urban,48807.85,111897.51,0
Single,Private,Female,1,Yes,Bachelors,Porsche,Puce,2013,0,Suburban,48765.23,195857.79,0
Married,Private,Female,0,Yes,PhD,Volkswagen,Mauv,1993,0,Highly Urban,73531.1,61728.18,0
Married,Private,Female,0,No,High School,Bentley,Maroon,2010,1,Rural,25381.22,142053.22,25381.22
Married,Private,Male,0,No,High School,Ford,Khaki,2001,0,Suburban,57767.64,105912.4,0
Single,Private,Female,0,No,High School,Oldsmobile,Yellow,1998,0,Suburban,46371,226432.65,0
Married,Commercial,Female,2,Yes,Bachelors,Chrysler,Blue,2000,0,Rural,21250.98,103099.38,0
Seperated,Commercial,Female,0,No,Bachelors,GMC,Blue,2008,0,Highly Rural,53217.39,220411.99,0
Divorced,Private,Female,0,No,Bachelors,Chevrolet,Teal,1995,1,Suburban,40150.63,174697.28,40150.63
Single,Commercial,Female,0,Yes,High School,Saab,Puce,1988,1,Suburban,21028.78,217775.03,21028.78
Seperated,Commercial,Female,1,Yes,Bachelors,Ford,Khaki,1991,0,Highly Rural,68371.88,229290.22,0
Married,Private,Female,0,No,Bachelors,Nissan,Khaki,2006,1,Highly Urban,67616.86,62567.68,67616.86
Divorced,Private,Male,0,No,Masters,Infiniti,Khaki,2004,0,Highly Urban,75215.69,141919.07,0
Married,Private,Male,0,No,Bachelors,Merkur,Maroon,1985,0,Highly Rural,14894.55,152847.76,0
Married,Private,Male,0,No,Bachelors,Jeep,Green,2000,0,Highly Urban,5301.7,95947.65,0
Married,Private,Male,0,No,Bachelors,BMW,Pink,2006,0,Urban,46809.8,73016.28,0
Single,Commercial,Male,0,Yes,Bachelors,Toyota,Orange,2012,0,Rural,54576.7,133433.33,0
Divorced,Private,Male,0,Yes,High School,Pontiac,Crimson,1987,0,Urban,35791.96,184845.12,0
Married,Commercial,Female,0,No,Bachelors,Kia,Purple,1997,0,Highly Urban,28493.99,215904.63,0
Married,Private,Female,0,No,PhD,Austin,Maroon,1959,0,Rural,26391.99,223405.83,0
Married,Private,Female,0,No,Bachelors,Honda,Yellow,2001,0,Highly Rural,11775.18,53750.78,0
Divorced,Private,Male,0,No,High School,Ford,Aquamarine,1990,0,Urban,80481.74,208433.36,0
Married,Private,Female,1,Yes,PhD,Chevrolet,Goldenrod,1972,0,Highly Urban,89307.66,111500.55,0
Single,Private,Male,1,Yes,High School,Chevrolet,Khaki,2007,1,Urban,68540.17,69790.74,68540.17
Single,Private,Female,2,Yes,Bachelors,Infiniti,Indigo,1992,0,Rural,5996.43,191909.78,0
Divorced,Private,Female,0,No,Bachelors,Acura,Yellow,2005,1,Suburban,88754.95,135235.85,88754.95
Single,Private,Female,1,Yes,PhD,Chrysler,Blue,2011,1,Highly Rural,33083.08,215922.55,33083.08
Seperated,Private,Female,0,No,Bachelors,Chevrolet,Pink,1994,0,Suburban,29386.14,155971.24,0
Divorced,Private,Female,1,Yes,High School,Pontiac,Khaki,2000,1,Suburban,36157.54,197737.54,36157.54
Married,Private,Male,0,No,Masters,Chevrolet,Yellow,2004,0,Urban,71781.16,223481.37,0
Single,Private,Female,0,No,Bachelors,Honda,Aquamarine,2009,0,Urban,76527.71,150708.1,0
Single,Private,Female,2,Yes,Bachelors,Ford,Puce,2007,0,Highly Urban,48111.8,212281.49,0
Married,Private,Male,0,No,Masters,Buick,Violet,2004,0,Rural,81096.08,135513.2,0
Single,Private,Female,1,Yes,Bachelors,Hummer,Turquoise,2006,0,Suburban,12310.86,118547.7,0
Married,Private,Female,0,No,Bachelors,Toyota,Khaki,1993,0,Rural,71351.98,156858.9,0
Single,Commercial,Male,0,Yes,Bachelors,Mazda,Crimson,1996,0,Rural,3631.71,185020.78,0
Married,Commercial,Female,0,Yes,Masters,Chevrolet,Crimson,2007,4,Highly Urban,62478.63,168480.28,15619.6575
Married,Private,Male,1,Yes,Bachelors,GMC,Yellow,1998,1,Rural,8499.24,203535.92,8499.24
Married,Private,Male,0,No,Bachelors,Honda,Goldenrod,2001,0,Highly Urban,7643.49,45536.79,0
Single,Private,Male,0,No,High School,GMC,Violet,2000,1,Urban,90173.07,94395.45,90173.07
Single,Private,Female,0,No,PhD,Lamborghini,Turquoise,1989,4,Rural,21365.22,106756.85,5341.305
Single,Commercial,Female,0,No,High School,Chevrolet,Green,2006,0,Highly Urban,2478.26,173131.99,0
Single,Private,Female,0,No,Bachelors,Ford,Indigo,2003,0,Highly Urban,94361.2,242199.87,0
Single,Commercial,Female,0,Yes,Bachelors,Volkswagen,Green,2009,0,Urban,10391.18,93918.59,0
Married,Private,Female,0,Yes,Masters,Honda,Pink,2002,0,Urban,56139.33,218705.78,0
Single,Private,Male,0,No,Bachelors,Honda,Indigo,1986,0,Highly Rural,20058.72,125970.65,0
